Date,Start_period,End_period,Barometer - hPa,Temp - Â°C,Hum - %,Dew Point - Â°C,Wet Bulb - Â°C,Avg Wind Speed - km/h,Wind Run - km,UV Index,GHI - W/m^2,Day of Year,Hour of Day,Solar Zenith Angle,Solar Elevation Angle,Clearness Index
3/6/2024,17:05,18:00,1006.475,30.917,68.917,24.417,26.0,5.167,-0.3,0.0,20.75,66,17.08333333,77.18815959,12.81184041,0.015246143
3/6/2024,18:05,19:00,1007.325,30.0,74.417,25.0,26.0,2.667,0.1,0.0,0.0,66,18.08333333,91.96976546,-1.969765462,0.0
3/6/2024,19:05,20:00,1007.967,29.25,76.333,25.0,26.0,4.25,0.2,0.0,0.0,66,19.08333333,106.7997106,-16.79971058,0.0
3/6/2024,20:05,21:00,1008.475,29.0,72.75,23.583,24.583,6.083,0.0,0.0,0.0,66,20.08333333,121.6588326,-31.65883261,0.0
3/6/2024,21:05,22:00,1008.783,28.0,72.833,23.0,24.0,7.0,0.0,0.0,0.0,66,21.08333333,136.5354557,-46.53545568,0.0
3/6/2024,22:05,23:00,1008.842,27.25,75.75,23.0,24.0,7.667,-0.1,0.0,0.0,66,22.08333333,151.4203838,-61.42038382,0.0
3/6/2024,23:05,0:00,1008.55,27.0,76.0,22.333,23.583,6.417,0.2,0.0,0.0,66,23.08333333,166.2969871,-76.29698709,0.0
3/7/2024,0:05,1:00,1008.075,26.583,78.5,22.417,23.417,8.333,-0.6,0.0,0.0,67,0.083333333,178.0724237,-88.07242366,0.0
3/7/2024,1:05,2:00,1007.625,26.0,81.0,23.0,24.0,6.5,-0.6,0.0,0.0,67,1.083333333,163.7832041,-73.78320407,0.0
3/7/2024,2:05,3:00,1007.325,26.0,82.0,23.0,23.833,5.083,0.0,0.0,0.0,67,2.083333333,148.911513,-58.91151299,0.0
3/7/2024,3:05,4:00,1007.3,26.0,82.333,22.417,23.0,5.167,-0.2,0.0,0.0,67,3.083333333,134.0262398,-44.02623978,0.0
3/7/2024,4:05,5:00,1007.667,25.25,83.167,22.0,23.0,4.75,0.3,0.0,0.0,67,4.083333333,119.1475577,-29.14755768,0.0
3/7/2024,5:05,6:00,1008.417,25.0,82.667,22.0,23.0,5.333,-0.1,0.0,1.5,67,5.083333333,104.2858083,-14.28580827,0.001102131
